Datum	Baden-Württemberg	Bayern	Berlin	Brandenburg	Bremen	Hamburg	Hessen	Mecklenburg-Vorpommern	Niedersachsen	Nordrhein-Westfalen	Rheinland-Pfalz	Saarland	Sachsen	Sachsen-Anhalt	Schleswig-Holstein	Thüringen	Deutschland
2020-10-27	9.385	12.096	4.649	865	864	1.546	7.512	471	4.316	20.968	2.959	986	2.963	757	1.063	920	72.320
2020-10-28	10.114	13.758	4.789	1.015	974	1.620	8.123	503	4.938	21.854	3.288	956	2.783	869	1.214	1.068	77.866
2020-10-29	10.648	14.143	5.130	1.082	1.037	1.708	8.615	578	4.832	23.605	3.386	999	3.183	948	1.335	1.093	82.322
2020-10-30	11.000	14.972	5.361	1.091	1.092	1.725	9.165	609	5.150	25.119	3.520	1.150	3.662	1.089	1.340	1.170	87.215
2020-10-31	11.830	15.553	5.513	1.233	1.197	1.717	9.493	690	6.098	26.306	3.955	1.041	3.766	1.107	1.456	1.295	92.250
2020-11-01	12.585	16.175	6.025	1.333	1.204	1.861	9.361	707	6.260	26.430	3.970	1.413	3.950	1.164	1.564	1.310	95.312
2020-11-02	12.913	17.074	6.040	1.495	1.290	1.932	10.113	734	6.830	27.246	4.047	1.584	4.463	1.156	1.646	1.310	99.873
2020-11-03	12.964	17.760	5.737	1.684	1.415	1.873	10.044	687	7.104	29.158	4.416	1.619	4.659	1.137	1.632	1.384	103.273
2020-11-04	13.079	18.602	6.104	1.422	1.428	1.851	9.781	696	7.128	30.030	4.367	1.428	4.567	1.111	1.581	1.431	104.606
2020-11-05	13.486	19.118	5.959	1.412	1.478	1.844	9.553	762	7.055	30.208	4.585	1.455	4.288	1.144	1.575	1.520	105.442
2020-11-06	13.591	19.851	6.307	1.489	1.462	2.007	9.685	779	7.012	29.586	4.715	1.355	4.885	1.203	1.535	1.568	107.030
2020-11-07	14.217	21.046	6.567	1.671	1.537	2.002	10.079	774	6.862	30.231	4.813	1.458	5.284	1.278	1.507	1.548	110.874
2020-11-08	14.999	21.440	6.915	1.637	1.533	2.285	10.362	796	6.858	29.615	4.729	1.398	5.903	1.224	1.500	1.592	112.786
2020-11-09	15.438	22.521	6.794	1.742	1.376	2.347	10.327	807	7.467	29.801	4.857	1.324	6.313	1.269	1.521	1.662	115.566
2020-11-10	15.072	22.540	6.221	1.795	1.363	2.251	10.811	802	7.440	30.248	5.168	1.359	6.038	1.338	1.554	1.668	115.668
2020-11-11	14.721	22.405	6.450	1.692	1.268	2.085	10.964	739	7.259	30.129	5.164	1.477	6.034	1.317	1.590	1.587	114.881
2020-11-12	14.927	23.485	6.342	1.685	1.213	1.955	11.029	580	7.434	29.575	5.220	1.520	6.022	1.306	1.595	1.631	115.519
2020-11-13	14.909	23.714	7.003	1.580	1.184	2.104	10.962	705	7.597	29.595	5.629	1.366	5.922	1.266	1.546	1.688	116.770
2020-11-14	14.968	23.465	7.159	1.583	1.065	2.173	10.526	683	8.235	29.796	5.633	1.421	6.104	1.318	1.593	1.827	117.549
2020-11-15	14.694	23.631	7.584	1.771	1.071	2.274	10.711	676	8.375	29.736	5.670	1.563	6.236	1.255	1.506	1.797	118.550
2020-11-16	14.850	23.886	7.720	1.889	1.067	2.250	10.943	675	7.823	29.537	5.648	1.401	6.775	1.273	1.508	1.925	119.170
2020-11-17	14.782	22.744	7.575	2.005	1.020	2.032	10.276	664	7.669	29.798	5.920	1.395	7.042	1.352	1.364	1.958	117.596
2020-11-18	14.614	22.444	7.855	1.883	1.074	1.889	9.970	698	7.045	29.598	5.724	1.339	6.539	1.367	1.435	2.044	115.518
2020-11-19	14.666	21.933	7.647	1.910	1.153	1.692	10.217	747	6.842	29.892	5.519	1.131	7.257	1.375	1.360	2.191	115.532
2020-11-20	14.829	22.100	7.334	1.924	1.012	1.873	10.708	726	6.770	29.879	5.358	1.225	6.902	1.424	1.394	2.127	115.585
2020-11-21	14.914	22.284	7.631	2.176	1.043	1.787	10.683	742	6.986	29.975	5.277	1.234	7.057	1.549	1.365	2.425	117.128
2020-11-22	15.002	22.529	8.223	2.166	1.009	1.979	10.687	745	6.817	28.974	5.066	1.138	7.197	1.562	1.329	2.588	117.011
2020-11-23	15.471	23.144	8.064	2.427	998	1.952	10.401	748	7.143	28.666	5.297	1.066	7.942	1.661	1.350	2.658	118.988
2020-11-24	14.080	23.366	7.257	2.264	978	1.831	10.778	781	7.497	28.520	5.560	1.136	7.880	1.796	1.370	2.844	117.938
2020-11-25	14.612	22.767	7.167	2.222	989	1.827	10.167	754	7.334	28.319	5.503	1.042	7.610	1.556	1.365	2.863	116.097
2020-11-26	14.286	22.705	7.397	2.329	902	1.330	9.950	710	6.827	27.680	5.373	1.105	7.748	1.784	1.390	3.080	114.596
2020-11-27	14.344	22.511	7.068	2.383	756	1.612	9.873	755	6.570	26.919	5.250	876	8.201	1.826	1.384	3.179	113.507
2020-11-28	14.251	22.410	6.985	2.413	826	1.393	9.562	744	6.841	26.092	5.109	903	9.152	1.898	1.339	3.068	112.986
2020-11-29	14.366	22.869	6.524	2.362	672	1.506	9.545	742	6.703	26.204	4.771	1.045	9.209	1.921	1.372	2.913	112.724
2020-11-30	14.723	22.983	7.301	2.419	633	1.471	9.393	757	6.619	26.479	4.815	1.097	9.874	2.155	1.330	3.033	115.082
2020-12-01	14.875	22.501	6.609	2.283	793	1.361	9.633	750	6.200	25.629	4.911	1.194	10.455	2.063	1.266	3.045	113.568
2020-12-02	14.640	22.321	6.273	2.302	808	1.254	9.625	723	5.967	24.720	4.893	1.074	10.647	1.989	1.292	2.940	111.468
2020-12-03	14.872	22.609	5.975	2.373	788	1.277	9.243	749	5.583	24.775	4.933	982	10.855	2.173	1.260	2.960	111.407
2020-12-04	14.842	22.443	5.886	2.563	744	1.292	9.204	756	5.317	24.787	5.020	952	11.237	2.251	1.278	3.412	111.984
2020-12-05	15.500	22.575	5.843	2.728	764	1.685	8.941	784	5.863	25.191	5.343	1.246	11.421	2.328	1.358	3.551	115.121
2020-12-06	16.007	22.974	6.673	2.833	736	1.930	9.182	758	5.749	25.063	5.164	1.271	12.240	2.322	1.424	3.554	117.880
2020-12-07	16.648	23.144	6.760	2.944	765	2.012	9.302	812	6.090	25.458	5.480	1.099	13.108	2.433	1.502	3.790	121.347
2020-12-08	16.889	23.278	6.217	2.731	778	1.938	9.588	833	6.067	26.270	5.088	1.335	13.005	2.681	1.577	3.902	122.177
2020-12-09	17.030	23.485	6.471	2.746	734	1.884	9.890	919	5.931	26.478	5.660	1.346	12.835	2.711	1.686	3.987	123.793
2020-12-10	17.790	24.397	6.447	2.551	778	1.925	9.486	1.065	6.290	25.299	5.643	1.383	12.608	2.808	1.705	4.096	124.271
2020-12-11	18.747	24.699	6.708	2.840	881	1.942	9.538	1.139	6.346	27.507	5.870	1.669	12.751	2.968	1.972	4.164	129.741
2020-12-12	19.418	25.296	6.243	3.147	870	2.003	10.870	1.257	6.879	28.524	6.272	1.684	13.930	2.967	2.110	4.474	135.944
2020-12-13	20.026	26.282	6.859	3.413	915	2.317	11.076	1.334	6.821	29.131	6.080	1.590	14.197	3.121	2.294	4.927	140.383
2020-12-14	20.789	26.728	7.083	3.825	911	2.335	11.360	1.448	7.501	30.100	6.468	1.836	15.437	3.311	2.314	5.005	146.451
